"school_id","student_count_total","student_count_low_income","student_count_special_ed","student_count_english_learners","student_count_black","student_count_hispanic","student_count_white","student_count_asian","student_count_native_american","student_count_other_ethnicity","student_count_asian_pacific","student_count_multi","student_count_hawaiian_pacific","student_count_ethnicity_not","bilingual_services","refugee_services","title_1_eligible"
"610304","556","501","37","40","77","445","8","18","2","0","0","4","2","0","true","false","true"
"400033","1254","1128","238","9","1244","7","1","0","0","0","0","0","0","2","true","false","true"
"609756","2888","2595","331","423","360","2402","48","59","9","0","0","7","2","1","true","false","true"
"400061","506","467","71","1","502","1","0","0","0","0","0","2","1","0","false","false","true"
"610557","279","242","42","30","91","161","23","0","2","0","0","1","1","0",,,"true"
"400066","508","467","104","6","499","8","0","0","0","0","0","1","0","0","false","false","true"
"610571","363","337","85","21","236","116","5","0","1","0","0","4","1","0","true","false","true"
"610569","278","248","59","50","19","161","61","22","4","0","0","11","0","0","true",,"true"
"400169","1004","906","180","148","115","870","12","0","2","0","0","3","0","2","true",,"true"
"609674","765","729","213","18","739","19","2","1","1","0","0","3","0","0","false","false","true"
"609718","1546","1070","293","156","34","1184","291","12","13","0","0","8","1","3","true","false","true"
"609733","648","590","159","285","233","228","50","92","2","0","0","7","2","34","true","true","true"
"609762","379","350","100","1","372","6","0","0","0","0","0","1","0","0","false","false","true"
"609761","272","254","86","2","263","6","1","0","0","0","0","2","0","0","false","false","true"
"400130","95","93","30","0","93","0","0","0","1","0","0","1","0","0","false",,"true"
"610380","123","119","16","0","121","1","0","0","0","0","0","1","0","0","true","false","true"
"609748","139","138","53","6","106","26","3","0","2","0","0","2","0","0",,,"true"
"400175","204","182","19","4","148","46","2","0","1","0","0","1","0","6",,,"true"
"610568","291","239","50","33","20","218","36","7","1","0","0","5","2","2",,,
"609759","671","620","174","92","191","453","14","6","4","0","0","2","1","0","true","false","true"
"610334","261","248","84","11","237","21","1","1","0","0","0","0","1","0","false","false","true"
"609719","1286","983","229","119","131","911","153","41","10","0","0","35","5","0","true","false","true"
"609710","295","284","77","1","288","5","0","0","0","0","0","1","0","1","false","false","true"
"609725","1111","925","154","4","1081","17","5","0","0","0","0","6","0","2","false","false","true"
"609691","1010","944","195","269","173","821","5","3","5","0","0","3","0","0","true","false","true"
"609766","219","163","219","68","45","119","52","0","0","0","0","2","1","0",,,"true"
"609715","1740","1622","316","521","66","1380","34","244","5","0","0","8","3","0","true","false","true"
"609738","2188","1028","211","58","461","712","665","253","4","0","0","89","4","0","true","false","false"
"609713","711","702","145","6","704","4","0","0","0","0","0","3","0","0","false","false","true"
"610383","319","307","47","90","41","275","2","0","1","0","0","0","0","0","true","false","true"
"609716","419","404","101","137","30","375","8","1","2","0","0","2","1","0","true","false","true"
"609720","4477","1813","211","37","335","1727","1764","463","19","0","0","126","30","13","false","false","false"
"609695","1370","946","213","122","139","758","294","131","7","0","0","36","5","0","true","true","true"
"609740","367","335","100","46","179","165","17","2","0","0","0","4","0","0","true","false","true"
"609730","1545","1185","185","289","371","649","201","265","10","0","3","28","6","12","true","false","true"
"609783","175","149","75","12","137","35","3","0","0","0","0","0","0","0",,,"true"
"610386","92","86","25","24","17","74","1","0","0","0","0","0","0","0",,,"true"
"400147","183","173","36","0","181","0","0","0","0","0","0","0","0","2",,,"true"
"610244","523","504","97","11","506","16","0","0","1","0","0","0","0","0","false","false","true"
"609728","988","925","205","354","114","717","59","76","12","0","0","3","5","2","true","true","true"
"400052","1141","905","190","13","1106","24","1","1","1","0","0","3","0","5","true","false","true"
"609745","313","282","313","50","207","87","18","1","0","0","0","0","0","0","true",,"true"
"609708","705","658","162","248","128","539","29","3","4","0","0","2","0","0","true","true","true"
"400013","329","308","87","119","7","313","4","3","0","0","0","2","0","0","true","false","true"
"610323","243","222","76","22","198","39","2","0","0","0","0","2","2","0","true","false","true"
"400036","496","348","62","31","293","102","49","36","2","0","0","12","2","0","true","false","true"
"609729","1517","1361","323","339","128","1248","83","29","5","0","0","16","7","1","true","false","true"
"609698","753","660","156","83","474","266","5","0","1","0","0","2","1","4","true","false","true"
"609727","599","565","121","3","582","9","1","0","0","0","0","0","0","7","false","false","true"
"610594","69","60","13","8","14","49","5","0","0","0","0","1","0","0",,,
"609750","31","30","6","3","23","8","0","0","0","0","0","0","0","0",,,"true"
"609734","3644","1871","447","334","94","1471","1654","290","13","0","0","82","19","21","true","false","false"
"609704","559","555","145","159","66","484","9","0","0","0","0","0","0","0","true","false","true"
"400173","408","341","42","67","12","378","14","3","1","0","0","0","0","0",,,
"400105","289","242","81","0","284","1","1","1","1","0","0","1","0","0","false","false","true"
"610385","220","209","69","63","40","177","3","0","0","0","0","0","0","0","true","false","true"
"609764","1717","1605","284","370","45","1625","17","11","6","0","0","6","0","7","true","true","true"
"609724","1517","1299","233","424","219","632","227","400","9","0","0","19","11","0","true","true","true"
"400123","106","98","19","0","101","3","0","0","1","0","0","0","0","1","false",,"true"
"609692","1313","1193","163","5","1293","13","0","0","0","0","0","7","0","0","false","false","true"
"610573","11","9","6","2","8","3","0","0","0","0","0","0","0","0",,,
"610384","380","364","51","64","5","374","0","1","0","0","0","0","0","0","true","false","true"
"400133","319","311","68","1","295","17","5","1","0","0","0","1","0","0","false",,"true"
"610565","276","260","43","2","263","6","1","0","0","0","0","1","0","5",,,"true"
"610392","355","334","56","112","15","334","2","0","0","0","0","1","0","3","true","false","true"
"609749","1077","460","52","7","72","319","340","214","4","0","7","42","5","74","false","false","false"
"609769","151","142","151","51","74","62","6","7","0","0","0","2","0","0","true",,"true"
"609754","302","262","25","21","190","103","4","1","0","0","0","3","0","1","true","false","true"
"609744","233","192","233","81","43","129","44","11","2","0","0","4","0","0","true",,"true"
"610402","142","94","10","5","47","75","13","6","0","0","0","1","0","0","true",,"true"
"610391","1356","846","72","26","943","350","43","11","4","0","0","5","0","0","false","false","true"
"400145","110","107","29","0","103","4","3","0","0","0","0","0","0","0","false",,"true"
"609751","483","402","61","7","461","13","1","2","1","0","0","5","0","0","false","false","true"
"610592","419","416","93","12","390","25","3","0","0","0","0","1","0","0",,,
"609780","825","785","79","162","12","795","12","3","1","0","0","2","0","0","true",,"true"
"609694","1008","803","25","9","18","940","34","9","5","0","0","1","1","0","true","false","true"
"609739","1443","1236","240","231","70","1279","69","3","13","0","0","9","0","0","true","false","true"
"400091","310","283","75","6","246","58","4","0","0","0","0","2","0","0","true","false","true"
"609709","327","321","68","95","105","219","1","0","0","0","0","1","1","0","true","true","true"
"609755","2194","786","120","28","424","622","602","415","5","0","0","94","12","20","true","false","false"
"610340","566","439","105","76","47","384","99","26","4","0","0","5","1","0","false","false","true"
"400176","94","87","26","7","70","23","1","0","0","0","0","0","0","0",,,"true"
"610518","245","229","77","1","235","7","2","0","0","0","0","1","0","0","true","false","true"
"400136","101","93","21","6","80","16","0","0","1","0","0","1","0","3","false",,"true"
"400057","945","804","139","98","275","618","13","33","2","0","0","3","1","0","true","false","true"
"400104","623","608","123","193","11","607","1","0","3","0","0","0","0","1","true","false","true"
"609746","2021","1168","123","22","1734","98","92","46","3","0","0","44","4","0","true","false","true"
"400128","96","94","24","0","92","2","0","0","0","0","0","1","1","0","false",,"true"
"610570","509","485","92","40","266","229","11","0","1","0","0","1","0","1","true",,"true"
"400134","124","119","25","9","23","94","7","0","0","0","0","0","0","0",,,"true"
"609678","1958","686","100","21","227","550","725","275","2","0","2","71","16","90","false","false","false"
"400115","1064","1031","160","228","470","572","15","1","0","0","0","5","0","1","true","false","true"
"400164","98","96","19","29","0","98","0","0","0","0","0","0","0","0","true",,
"400161","348","331","66","0","335","9","1","0","0","0","0","2","1","0",,,
"400085","612","561","108","180","11","591","8","1","1","0","0","0","0","0",,,"true"
"610529","630","420","73","15","276","242","74","17","2","0","0","18","1","0","false","false","true"
"400035","602","530","74","155","199","296","35","60","2","0","0","10","0","0","true","false","true"
"610558","923","808","146","104","384","523","5","1","3","0","0","6","1","0","true","false","true"
"610389","234","224","49","7","207","25","2","0","0","0","0","0","0","0","true","false","true"
"609722","87","81","39","0","83","3","1","0","0","0","0","0","0","0","false","false","true"
"400162","1005","876","193","148","36","930","32","3","0","0","0","1","0","3","true","false","true"
"400053","634","579","110","87","106","496","17","2","1","0","0","5","0","7","true","false","true"
"609732","1224","1070","231","279","204","877","85","32","9","0","0","13","3","1","true","false","true"
"609723","258","254","70","1","253","5","0","0","0","0","0","0","0","0","false","false","true"
"610593","152","136","28","1","148","3","1","0","0","0","0","0","0","0",,,
"400097","1135","1000","188","128","364","749","4","6","3","0","0","3","1","5","false","false","true"
"400137","128","84","29","0","126","0","0","0","0","0","0","2","0","0",,,"true"
"400094","516","488","108","71","319","173","4","0","0","0","0","7","0","13","true","false","true"
"400058","315","266","58","0","307","4","1","0","0","0","0","0","0","3","true","false","true"
"609705","262","248","51","0","254","4","0","0","0","0","0","2","1","1","true","false","true"
"400167","739","691","82","182","209","521","7","0","1","0","0","1","0","0","true",,"true"
"609741","1628","1549","228","318","100","1485","31","2","5","0","0","4","0","1","true","false","true"
"609682","222","213","48","67","106","113","1","0","0","0","0","0","0","2","true","false","true"
"400118","286","262","92","1","272","12","1","0","0","0","0","1","0","0","false","false","true"
"609712","104","99","45","2","100","2","0","0","1","0","0","1","0","0","false","false","true"
"609760","479","431","31","23","169","303","6","0","0","0","0","1","0","0","false","false","true"
"400157","200","185","43","29","155","38","4","0","1","0","0","1","1","0","false","false","true"
"400156","622","564","129","13","580","35","1","0","0","0","0","3","1","2","false","false",
"400121","597","541","95","259","265","302","12","10","3","0","0","4","1","0","true","true","true"
"400171","195","182","43","2","191","2","0","0","1","0","0","1","0","0",,,"true"
"609737","1697","1147","112","68","169","929","296","257","7","0","0","33","6","0","false","false","true"
"400117","490","419","100","7","483","4","1","0","0","0","0","0","0","2","false","false","true"
"400141","161","121","20","49","59","63","17","17","2","0","0","3","0","0",,,
"400125","162","151","26","28","8","149","0","1","1","0","0","0","0","3","true","true","true"
"609676","348","346","84","7","330","14","2","0","0","0","0","1","1","0","false","false","true"
"400086","227","187","61","0","227","0","0","0","0","0","0","0","0","0","false","false","true"
"400054","967","916","107","145","36","918","8","1","3","0","0","1","0","0","false","false","true"
"400051","683","572","104","103","82","575","13","7","4","0","0","2","0","0","true","false","true"
"400034","893","709","214","158","50","511","165","148","4","0","0","12","2","1","true","false","true"
"610564","766","421","86","32","155","397","162","26","2","0","0","24","0","0",,,"true"
"400131","171","159","62","18","36","130","3","0","1","0","0","0","1","0","true",,"true"
"400126","99","98","24","16","30","66","1","1","0","0","0","0","1","0","true",,"true"
"400106","607","571","142","3","581","22","1","0","2","0","0","1","0","0","false","false","true"
"400172","627","504","136","197","19","582","14","2","1","0","0","5","0","4","true",,"true"
"400150","125","116","26","0","120","1","0","0","0","0","0","0","0","4","false",,"true"
"400056","399","362","103","16","325","65","3","0","2","0","0","3","0","1","true","false","true"
"400139","296","284","45","3","266","27","0","0","2","0","0","1","0","0","false",,"true"
"400143","117","109","24","8","71","40","0","0","2","0","0","0","0","4","true",,"true"
"609726","999","697","58","2","793","189","7","0","0","0","0","7","3","0","false","false","true"
"400032","238","216","61","1","237","0","0","0","0","0","0","1","0","0","true","false","true"
"400129","129","125","33","0","124","2","0","0","0","0","0","2","0","1","false",,"true"
"610381","115","111","29","2","111","3","0","1","0","0","0","0","0","0","false","false","true"
"610563","1067","996","76","135","32","985","11","32","7","0","0","0","0","0","true",,"true"
"400119","279","263","59","0","277","1","0","0","1","0","0","0","0","0","false","false","true"
"610357","100","96","26","36","0","98","1","0","1","0","0","0","0","0","true","false","true"
"609679","1223","1127","137","79","240","947","22","5","7","0","0","0","1","1","true","false","true"
"610547","581","478","49","4","562","13","0","1","0","0","0","5","0","0","false","false","true"
"400124","126","122","35","0","125","1","0","0","0","0","0","0","0","0","false",,"true"
"400127","74","69","16","1","70","4","0","0","0","0","0","0","0","0","false",,"true"
"400022","612","279","40","4","197","240","115","9","2","0","0","8","2","39","false","false","false"
"609735","198","188","63","34","84","85","22","7","0","0","0","0","0","0","true","false","true"
"609693","1237","977","87","36","601","527","19","68","1","0","0","8","2","11","false","false","true"
"400064","377","334","67","5","351","21","0","2","0","0","0","2","1","0","true","false","true"
"400062","311","281","66","0","306","1","1","0","1","0","0","2","0","0","true","false","true"
"400098","960","804","120","68","271","644","3","34","2","0","0","5","0","1","true","false","true"
"610524","316","243","67","26","56","209","33","8","2","0","0","5","3","0","true","false","true"
"610587","609","535","85","3","587","14","4","0","0","0","0","3","0","1",,,
"610245","61","58","20","1","56","4","1","0","0","0","0","0","0","0","true",,"true"
"400135","101","99","20","25","5","96","0","0","0","0","0","0","0","0","true","true","true"
"610394","122","112","65","20","78","24","7","10","2","0","0","1","0","0","true","false","true"
"400113","148","120","36","1","134","10","2","1","0","0","0","1","0","0","true","false","true"
"400149","515","475","87","171","9","505","1","0","0","0","0","0","0","0",,,"true"
"400179","1013","929","177","239","10","976","10","15","1","0","0","0","1","0","true","true","true"
"400055","618","514","102","76","137","456","15","1","1","0","0","3","0","5","true","false","true"
"610499","222","217","60","1","214","8","0","0","0","0","0","0","0","0","false","false","true"
"400059","400","383","68","0","388","4","0","0","0","0","0","2","0","6","true","false","true"
"400144","139","128","27","4","90","46","3","0","0","0","0","0","0","0","true",,"true"
"400077","620","490","84","5","593","9","1","0","1","0","0","1","0","15","false","false","true"
"610561","415","355","34","6","327","74","4","3","1","0","0","3","0","3","false","false","true"
"609753","804","347","167","11","373","152","255","2","6","0","0","12","4","0","true","false","false"
"609711","46","42","13","1","44","2","0","0","0","0","0","0","0","0","false","false","true"
"610543","1212","1126","147","175","45","1150","9","0","6","0","0","2","0","0","true","false","true"
"609680","1218","354","54","9","127","265","535","227","2","0","0","51","11","0","true","false","false"
"400170","478","401","73","55","196","245","6","24","2","0","0","3","0","2","true","true","true"
"610513","194","161","21","15","89","88","12","1","1","0","0","3","0","0","false","false","true"
"609768","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false","false","true"
"610390","394","322","47","35","22","308","37","23","2","0","0","1","0","1","false","false","true"
"400142","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
