AXP|American Express Company|Financials
BA|Boeing Company (The)|Industrials
CAT|Caterpillar Inc.|Industrials
CSCO|Cisco Systems Inc.|Information Technology
CVX|Chevron Corporation|Basic Materials
DD|E.I. du Pont de Nemours and|Basic Materials
DIS|Walt Disney Company (The)|Services
GE|General Electric Company|Industrials
GS|Goldman Sachs Group Inc. (The)|Financials
HD|Home Depot Inc. (The)|Services
IBM|International Business Machines|Information Technology
INTC|Intel Corporation|Information Technology
JNJ|Johnson & Johnson|Health Care
JPM|JP Morgan Chase & Co.|Financials
KO|Coca-Cola Company (The)|Consumer Staples
MCD|McDonald's Corporation|Services
MMM|3M Company|Industrials
MRK|Merck & Company Inc.|Health Care
MSFT|Microsoft Corporation|Information Technology
PFE|Pfizer Inc.|Health Care
T|AT&T Inc.|Telecommunications Services
TRV|The Travelers Companies Inc. C|Financials
UTX|United Technologies Corporation|Industrials
VZ|Verizon Communications Inc.|Telecommunications Services
WMT|Wal-Mart Stores Inc.|Services
XOM|Exxon Mobil Corporation|Basic Materials
NKE|Nike Inc.|Consumer Discretionary
UNH|UnitedHealth Group Incorporated|Health Care
V|Visa Inc.|Financials
PG|Procter & Gamble Company (The)|Consumer Staples
A|Agilent Technologies Inc|Health Care
AA|Alcoa Inc|Materials
AAPL|Apple Inc.|Information Technology
ABBV|AbbVie|Health Care
ABC|AmerisourceBergen Corp|Health Care
ABT|Abbott Laboratories|Health Care
ACE|ACE Limited|Financials
ACN|Accenture plc|Information Technology
ACT|Actavis plc|Health Care
ADBE|Adobe Systems Inc|Information Technology
ADI|Analog Devices Inc.|Information Technology
ADM|Archer-Daniels-Midland Co|Consumer Staples
ADP|Automatic Data Processing|Information Technology
ADS|Alliance Data Systems|Information Technology
ADSK|Autodesk Inc|Information Technology
ADT|ADT Corp|Industrials
AEE|Ameren Corp|Utilities
AEP|American Electric Power|Utilities
AES|AES Corp|Utilities
AET|Aetna Inc|Health Care
AFL|AFLAC Inc|Financials
AGN|Allergan Inc|Health Care
AIG|American International Group Inc.|Financials
AIV|Apartment Investment & Mgmt|Financials
AIZ|Assurant Inc|Financials
AKAM|Akamai Technologies Inc|Information Technology
ALL|Allstate Corp|Financials
ALLE|Allegion|Industrials
ALTR|Altera Corp|Information Technology
ALXN|Alexion Pharmaceuticals|Health Care
AMAT|Applied Materials Inc|Information Technology
AME|Ametek|Industrials
AMGN|Amgen Inc|Health Care
AMP|Ameriprise Financial|Financials
AMT|American Tower Corp A|Financials
AMZN|Amazon.com Inc|Consumer Discretionary
AN|AutoNation Inc|Consumer Discretionary
AON|Aon plc|Financials
APA|Apache Corporation|Energy
APC|Anadarko Petroleum Corp|Energy
APD|Air Products & Chemicals Inc|Materials
APH|Amphenol Corp A|Industrials
ARG|Airgas Inc|Materials
ATI|Allegheny Technologies Inc|Materials
AVB|AvalonBay Communities Inc.|Financials
AVP|Avon Products|Consumer Staples
AVY|Avery Dennison Corp|Materials
AZO|AutoZone Inc|Consumer Discretionary
BAC|Bank of America Corp|Financials
BAX|Baxter International Inc.|Health Care
